clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
qu aije donc mis pot commun groupe fonctionne carlos ghosn désormais ancien patron renault s est jour posé cette question sans doute,"[1.2438248000139016245e-205, 3.8773541391239831736e-204, 1.32168208615833945706e-169, 7.3624278422186642977e-205, 8.9696744034253326355e-127, 4.5585491521895007617e-245, 5.8134268053992803735e-239, 9.0243597263913565333e-60, 1.6474736014818297607e-136, 6.7969489180866741377e-143, 4.737236080216878547e-195, 5.7147012883818870097e-251, 8.875606147303744327e-166, 6.6798010523327636517e-274, 1.2551418134687206712e-130, 3.2329002846889741217e-194, 1.8107836097056012736e-206, 1.4312455531874821219e-253, 3.1716084313524306934e-219, 6.449694475190437924e-212, 2.603572816684287507e-119, 1.6559053409917141685e-232]",4.101981693814253e-61,22
comme tous grands patrons français multimillionnaires plus plus nombreux cessent gaver sans jamais penser qu ils tout gagner partager participer l collective,"[7.5376673288472884773e-118, 6.5237925388559746434e-179, 5.6415050711551315685e-106, 4.5050630550548541348e-173, 4.989367890865332955e-190, 7.451462169243451567e-136, 3.3271623133971962858e-240, 2.5494371162048152877e-245, 1.1067370442736667807e-217, 4.9365184369337055795e-166, 6.218567238754873753e-206, 2.2926164972414381991e-203, 5.42853679683848641e-266, 1.6325929402577080634e-157, 8.259272324447694912e-249, 1.3487618496273760786e-156, 3.2074114651091084946e-127, 4.848294479433055089e-261, 5.3729002065482104287e-181, 2.0318372374202598502e-201, 4.5909688880447619675e-236, 5.204225802293326491e-215]",2.5643204868921225e-107,22
ceux tout dépensent beaucoup d énergie planquer pognon échapper l impôt écraser voisin rien partager c est drame pays,"[2.7039168045197230538e-231, 8.593317312395262193e-251, 1.8329204761689137059e-213, 1.8676708700464889541e-211, 3.6726609328289197132e-171, 3.162407447994456572e-225, 3.9907751997109152684e-202, 4.9696068031591209912e-161, 2.2977567804350389013e-199, 7.2567232789220750575e-215, 5.923836682124200389e-197, 3.724337464088068751e-296, 8.83028395356251867e-297, 4.288211376796707879e-282, 7.14364380605579859e-269, 5.400118195825616363e-227, 1.1615600372639124343e-279, 3.9283521746971726583e-241, 2.3309018304077755531e-253]",2.6155825281717827e-162,19
a l inverse certains n ont rien grand chose dépensent souvent beaucoup d énergie rien faire utiliser système assiste ça aussi c est drame,"[3.101950918345330372e-256, 1.7657357381256772979e-248, 2.146416967783123818e-279, 2.8940700207123813813e-247, 1.6421842070516556384e-225, 1.6164641459043401344e-266, 2.842102762015391447e-303, 3.8352377379269606895e-289, 4.7362025551170284473e-214, 6.3396980828261726757e-259, 5.3837312239403888624e-250, 3.0181974127555810635e-245, 3.4576069175235063687e-250, 2.8015576403563912113e-235, 2.2406855791753314704e-250, 1.3448061618778137598e-252, 8.505573919962946786e-249, 5.780667392750255419e-271, 1.6997055684760330356e-275, 7.2398091932460786465e-256, 8.11390525970398396e-276, 4.4579260302656693126e-269, 7.6002571919729876085e-275, 6.1364264310466262685e-283]",1.9734177313056042e-215,24
d un extrème l autre recroqueville soi met rien pot commun,"[1.6565944042760718157e-233, 4.8142706028040256548e-262, 3.2727289988457906435e-247, 1.6913497719167378067e-242, 2.1406079753707226456e-258, 1.1676283087490392265e-249, 4.0413950821162738732e-240, 2.7807880866603481068e-234, 5.368435006831991265e-254, 7.6894356491902084645e-238, 2.0767404093002796065e-289]",1.7588641028449904e-234,11
si collectif n a plus sens c est l éducation fait défaut,"[2.1486019778740705122e-219, 6.341991410334037204e-289, 2.735407704128153253e-255, 1.602216467006139059e-256, 1.9584459964467879694e-232, 1.280636891740259235e-243, 5.696355767925606865e-214, 2.309792854285984299e-205, 8.745288307839750249e-224, 1.2143870500743045619e-221, 5.897117095291057586e-215, 2.3577854368094370907e-185]",1.9648211973411977e-186,12
pourtant talent l énergie service collectif c est possible filles quinze france l ont superbement démontré face nouvellezélande semaine dernière grenoble,"[3.8271520948871286729e-177, 6.6424477657003319e-194, 2.259260733429236107e-241, 1.279557311781436718e-221, 5.455121943089682224e-199, 1.1664546060011193146e-221, 3.267932299547773798e-247, 5.358656043955871915e-218, 1.42031047958315804385e-179, 6.0459179286148530907e-174, 1.9435570063190583965e-171, 6.2397450621388657524e-163, 3.3612431134610280845e-206, 1.7854994402686794067e-206, 6.6800116796739794008e-164, 1.24515114344771112485e-185, 1.0990549140002309225e-252, 6.953023504973631356e-200, 4.8727229128462164002e-198, 6.742475490713311194e-182, 3.6078279199092949937e-207]",3.2894029760011103e-164,21
leçon d intelligence collective,"[1.7771202856174927552e-219, 4.2717558167260145477e-142, 1.2129604120142793216e-156, 1.8532854337577460996e-144]",1.0725721677659011e-142,4
quand plusieurs cerveaux bien faits s agrègent bâtir compétence commun,"[2.6775838422132402354e-207, 1.6234904905583500899e-167, 8.259169885002110157e-104, 8.65381021652821513e-143, 8.2442528331077429615e-188, 2.7971532780453362901e-219, 5.689287426424975538e-200, 1.3968763213082125253e-178, 8.777950925474637225e-205, 2.6095845652672453309e-117]",8.259169885002371e-105,10
forcément plus performants certainement plus aptes s associer,"[2.3207982529590657097e-190, 2.4020461658615385113e-144, 3.7077220189012011758e-208, 1.2046689558861497796e-145, 5.9940088037012552793e-64, 1.2583743679228929971e-217, 3.1972696620834219891e-139, 8.2056308696030930855e-123]",7.492511004626569e-65,8
récente étude l intelligence collective réalisée etatsunis a d ailleurs démontré qu il suffit d associer quotients intellectuels plus forts obtenir obligatoirement qi collectif plus performant,"[3.8159274815909774195e-54, 1.1060379456469835675e-165, 1.1077250703103754585e-204, 3.4495190787899174384e-203, 4.2231859838875179103e-137, 1.05431812398982972254e-153, 9.9249770935126021794e-195, 8.470283946234215908e-130, 1.5782372237904778372e-110, 1.1186525626180794315e-150, 1.6327149367357482658e-208, 6.227372936928573511e-198, 1.027016301344726518e-172, 1.2531882317327517872e-170, 1.2558671016319360412e-117, 5.1279044581369198264e-147, 3.1617181734305846815e-174, 2.8421292365843928714e-213, 1.5643459659425048372e-231, 2.3538718903395167339e-216, 1.2722170710831438414e-136, 6.4422965839701659813e-260, 2.1442335387121660219e-120, 6.844000509054461905e-241, 4.6497323087649849094e-166, 4.527292508168665359e-250]",1.4676644159965299e-55,26
car l intelligence collective requiert valeurs dépassent largement simple calcul qi d un individu partage bienveillance solidarité capacité d écoute,"[4.2766151094643637e-220, 5.2217881867808608807e-188, 4.3481760929316371517e-213, 1.1082637125658770542e-256, 9.709275465115391186e-246, 3.8705376639366785823e-250, 4.040298876191039818e-270, 1.3269094167742524828e-210, 5.315006911108106723e-302, 9.470694805451785845e-270, 3.7937811872881047795e-292, 7.3175194383382113684e-189, 1.7739204120435307987e-197, 4.4550025924234235486e-275, 3.5448562332990978403e-174, 1.258615640196524638e-246, 6.636052674192306229e-269, 1.2531394547400494163e-246, 2.3600314113692074773e-185, 3.6307663742413251377e-287]",1.7724281166613788e-175,20
cette étude a donc livré conclusion suivante présence femmes sein d un groupe optimise toujours intelligence collective,"[2.9800283223808740211e-260, 2.6743768568657339751e-245, 1.4782895813840850992e-210, 2.346416653976561445e-271, 2.9857296655760562402e-226, 6.580340131089045058e-162, 1.0987522061954851159e-266, 8.214544827449148269e-176, 5.384325020125378933e-186, 9.76170670579444133e-199, 8.238236994721602674e-279, 3.335540494298314242e-216, 1.7352835924290550587e-234, 6.6287931653522253896e-241, 1.5306070909454728036e-291, 1.2356944012664156009e-277, 7.487878264825413354e-236]",3.870788312405369e-163,17
cette discipline éminemment collective peut donc penser femmes rôle majeur jouer l avenir rugby,"[9.9470476150969374417e-259, 6.6508144538149507396e-237, 2.1119585644047064401e-278, 6.574214617701994352e-268, 2.5767684257856222043e-205, 4.077730562017232298e-227, 1.2155467752373430246e-265, 2.1387538714748436549e-200, 1.2003281338300184298e-270, 1.9347102657643526382e-181, 1.5874041945519263798e-269, 8.5897439099713657554e-210, 1.984691140377637022e-235, 1.8039766460876638399e-261]",1.3819359041173948e-182,14
démonstration collective l équipe france féminine rugby contre black ferns tous cas démonstration éclatante,"[1.9135146720649908984e-145, 4.114253254324178168e-152, 2.1220019990757176437e-235, 9.896606148610527732e-223, 4.6576723122764905606e-227, 3.1745843961434034786e-139, 1.3116411537303438078e-123, 8.2891450830006284415e-153, 1.1203590006274407452e-146, 9.662791323991920928e-219, 4.7186117671208256584e-268, 6.2655106061277532596e-269, 3.9631479136623484251e-174, 3.1636071365656931028e-187]",9.368865383788172e-125,14
exemple suivre,"[5.000950610344662818e-263, 9.390669014410571578e-171]",4.695334507205286e-171,2
d une certaine façon joueuses équipe france redonné sens devrait toujours être rugby groupe d individus mettent pot commun,"[2.760534328798595154e-134, 8.987636999366204375e-132, 1.911018409606999441e-190, 8.350436199670936483e-174, 5.1488677923628002406e-162, 2.1544905351385631125e-246, 1.03905096932092347826e-187, 1.3302817703434111626e-241, 1.1007182078447561814e-123, 8.582384603778075917e-186, 1.3229445803081200647e-176, 3.1496743918847850289e-220, 8.40557678292041142e-116, 7.1124053031436597047e-135, 2.3749120082848501389e-89, 1.5802246188411304008e-126, 5.3025884925383407555e-152, 1.0, 7.560255642971132602e-145]",0.05263157894736842,19
audelà rugby vrai défi société,"[1.1185994689351165097e-76, 1.1063053649585460535e-167, 1.0463541296989611252e-84, 7.5695778789632987685e-185, 8.2888408151281413415e-190]",2.2371989587973154e-77,5
js,[4.326562432193343375e-101],4.326562432193343e-101,1
